Cohort,City,Grade Type,Fellow ID Number,There is a person(s) at Teach For India that shares timely feedback with me on my classroom's progress,My PM consistently shares helpful and timely feedback on my development as a teacher and leader with me,My PM helps me identify opportunities within and beyond TFI that will aid my development as a leader,My PM is an effective mentor to me,"City wide events like the City Conferences, Learning Communities, and workshops aid my development by exposing me to the larger Movement for educational equity","I have access to helpful and timely support, resources and networks via Teach For India to find a suitable post-Fellowship opportunity",There is a sufficient ecosystem for consistent and timely support in my city that I can access for challenges I face while working with the community in which my placement school is located,There is a sufficient ecosystem for consistent and timely support in my city that I can access for the challenges I face while working in my placement school,I find the Career options available to me post Fellowship exciting,"I am growing the capabilities I need (e.g., knowledge, skills, mindsets, values, perspectives, relationships) to play a valuable role in the movement to ensure that all children in this nation have the opportunity to attain an excellent education.",Teach For India has a role to play in ensuring that all children in India attain an excellent education,I believe it is possible for all children in India to attain an excellent education,"I feel comfortable in approaching Senior Management with any concerns, questions or ideas that I have",I am aware of city level and Org level happenings at Teach For India,There is a person(s) I am close to and can draw support from at Teach For India,"I have seen evidence that at Teach For India, everyone works collectively, committing to do what it takes, to provide a quality education to students","I feel my work, when worthy, is aptly recognised and praised at Teach For India",I believe that my colleagues and staff at Teach For India conduct themselves with appropriate levels of professionalism,"In my experience, my views are taken into account and acted upon at Teach for India",I believe there exist apt channels and platforms at Teach for India for me to share feedback/concerns,I feel safe working in my placement school,I feel safe in the community in which in my placement school is located,I feel part of a larger movement that is working to ensure that all children in India attain an excellent education,I believe I have a role to play in ensuring all children attain an excellent education,I have a growing understanding of why all children in India today do not attain an excellent education,I find purpose and meaning in the work I do,I believe that I am effectively contributing to ensuring that all children have the opportunity to attain an excellent education,"Compared to my expectations when I applied, my actual Fellowship experience till date has:"
2018,Delhi,Elementary,1001072,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Somewhat fulfilled my expectations
2018,Ahmedabad,Elementary,1001073,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001074,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001075,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,na,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001076,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001077,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,na,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Somewhat fulfilled my expectations
2018,Mumbai,Secondary,1001078,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,na,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Delhi,Secondary,1001079,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001080,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,na,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Mumbai,Elementary,1001081,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,na,Strongly Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001082,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,na,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2017,Delhi,Secondary,1001083,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,na,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Bengaluru,Elementary,1001084,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,na,Disagree,Agree,Disagree,na,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Not lived up to my expectations
2017,Hyderabad,Elementary,1001085,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Pune,Secondary,1001086,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,na,Agree,Disagree,na,Strongly Agree,Agree,Strongly Agree,na,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Mumbai,Elementary,1001087,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,na,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Chennai,Secondary,1001088,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Chennai,Secondary,1001089,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2017,Pune,Secondary,1001090,Agree,Agree,Agree,Agree,Agree,na,Agree,Disagree,na,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2018,Pune,Secondary,1001091,Agree,Agree,Agree,Agree,na,na,Agree,Disagree,na,Agree,Agree,Strongly Agree,na,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Hyderabad,Secondary,1001092,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,na,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Mumbai,Elementary,1001093,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Not lived up to my expectations
2017,Pune,Secondary,1001094,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Bengaluru,Elementary,1001095,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,na,Agree,Agree,Agree,na,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Mumbai,Secondary,1001096,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Bengaluru,Secondary,1001097,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Chennai,Secondary,1001098,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Bengaluru,Secondary,1001099,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,na,Disagree,Disagree,na,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Exceeded my expectations
2017,Pune,Secondary,1001100,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Not lived up to my expectations
2018,Delhi,Secondary,1001101,Agree,Agree,Agree,Agree,Disagree,na,Agree,Agree,na,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Hyderabad,Elementary,1001102,Agree,Agree,Disagree,Strongly Agree,Agree,na,Agree,Disagree,na,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001103,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Ahmedabad,Secondary,1001104,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Delhi,Secondary,1001105,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001106,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,na,Agree,Agree,Agree,na,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001107,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001108,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001109,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,na,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Delhi,Elementary,1001110,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,na,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Mumbai,Secondary,1001111,Agree,Disagree,Agree,Agree,Strongly Disagree,na,Agree,Agree,na,Agree,Agree,Strongly Agree,na,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Mostly fulfilled my expectations
2017,Mumbai,Elementary,1001112,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Pune,Secondary,1001113,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,na,Agree,Agree,na,Strongly Agree,Agree,Agree,na,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Pune,Elementary,1001114,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Mumbai,Secondary,1001115,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2017,Delhi,Secondary,1001116,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Mumbai,Elementary,1001117,Agree,Agree,Disagree,Agree,Agree,na,Disagree,Agree,na,Agree,Agree,Disagree,na,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Pune,Elementary,1001118,Agree,Agree,Disagree,Agree,na,na,Disagree,Disagree,na,Agree,Agree,Agree,na,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Not lived up to my expectations
2018,Mumbai,Secondary,1001119,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,na,Agree,Disagree,na,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Pune,Elementary,1001120,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,na,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2018,Pune,Secondary,1001121,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,na,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001122,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2017,Delhi,Secondary,1001123,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Exceeded my expectations
2017,Hyderabad,Secondary,1001124,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2017,Bengaluru,Elementary,1001125,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Ahmedabad,Elementary,1001126,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001127,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001128,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,na,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Somewhat fulfilled my expectations
2017,Bengaluru,Secondary,1001129,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2018,Chennai,Secondary,1001130,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,na,Disagree,Disagree,na,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Chennai,Elementary,1001131,Agree,Agree,Agree,Agree,Agree,na,Strongly Agree,Strongly Agree,na,Agree,Agree,Strongly Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Chennai,Secondary,1001132,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2017,Bengaluru,Secondary,1001133,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Pune,Elementary,1001134,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001135,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001136,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Hyderabad,Secondary,1001137,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Disagree,na,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2017,Delhi,Secondary,1001138,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Somewhat fulfilled my expectations
2018,Chennai,Secondary,1001139,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001140,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Mumbai,Secondary,1001141,Agree,Agree,Disagree,Agree,Agree,na,Disagree,Disagree,na,Strongly Agree,Strongly Agree,Strongly Agree,na,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
